Variable,Description,NaturalLanguageClause
abany,abortion if woman wants for any reason,whether a pregnant woman should be able to obtain a legal abortion for any reason
abdefect,strong chance of serious defect,whether a pregnant woman should be able to obtain a legal abortion if there is a strong chance of serious defect in the baby
abhlth,woman's health seriously endangered,whether a pregnant woman should be able to obtain a legal abortion if her health is seriously endangered
abnomore,married--wants no more children,whether a married woman should be able to obtain a legal abortion if she does not want more children
abpoor,low income--cant afford more children,whether a pregnant woman should be able to obtain a legal abortion if the family cannot afford more children
abrape,pregnant as result of rape,whether a pregnant woman should be able to obtain a legal abortion if she became pregnant as a result of rape
absingle,not married,whether an unmarried woman should be able to obtain a legal abortion
abhelp1,r would help with arrangements for abortion,whether to help a family member or friend with arrangements for an abortion
abhelp2,r would help with paying for abortion,whether to help pay for an abortion
abhelp3,r would help with paying for abortion-related other costs,whether to help pay for costs related to an abortion other than the procedure itself
abhelp4,r would help with emotional support for abortion,whether to provide emotional support to someone having an abortion
advfront,sci rsch is necessary and should be supported by federal govt,whether scientific research that advances knowledge should be supported by the federal government
balneg,sci research is strongly in favor of harmful results,the degree to which harmful results of scientific research outweigh the benefits
balpos,sci research is strongly in favor of benefits,the degree to which benefits of scientific research outweigh harmful results
scientbe,scientists want to make life better for avg person,whether scientists want to make life better for the average person
scientgo,scientists work for good of humanity,whether scientists work for the good of humanity
scienthe,scientists help solve prob,whether scientists help solve challenging problems
affrmact,Favor preference in hiring Black people,whether Black people should be given preference in hiring and promotion
discaff,whites hurt by aff. action,the likelihood that a white person won't get a job or promotion while an equally or less qualified Black person gets one
discaffm,a man won't get a job or promotion,the likelihood that a man won't get a job or promotion while an equally or less qualified woman gets one
discaffw,a woman won't get a job or promotion,the likelihood that a woman won't get a job or promotion while an equally or less qualified man gets one
fehire,should hire and promote women,whether employers should make special efforts to hire and promote women
fejobaff,for or against preferential hiring of women,whether women should be given preference in hiring and promotion
wrkwayup,Black people overcome prejudice without favors,whether Black people should work their way up without special favors
carsgen,car pollution danger to envir,the degree of danger car pollution poses to the environment
grncon,concerned about environment,how concerned to be about environmental issues
grnecon,"worry too much about envir, too little econ",whether we worry too much about the environment and not enough about prices and jobs
grneffme,environment effect everyday life,whether environmental problems have a direct effect on everyday life
grnexagg,environmental threats exaggerated,whether claims about environmental threats are exaggerated
grnprice,pay higher prices to help envir?,how willing to pay higher prices to protect the environment
grnprog,worry too much about progress harming envir,whether people worry too much about progress harming the environment
grnsol,accept cut in living stnds to help envir?,how willing to accept cuts in living standards to protect the environment
grntaxes,pay higher taxes to help envir?,how willing to pay higher taxes to protect the environment
grwtharm,econ grwth always harms envir,whether economic growth always harms the environment
grwthelp,amer needs econ grwth to protect envir,whether America needs economic growth to protect the environment
harmsgrn,almost everything we do harms envir,whether almost everything we do in modern life harms the environment
helpharm,way living helps or harms,whether it is hard to know if the way you live helps or harms the environment
ihlpgrn,do what i can to help envir,whether to do what is right for the environment even when it costs more money or time
impgrn,more important in life than save environment,whether there are more important things in life than protecting the environment
nobuygrn,how often avoid products,how often to avoid buying certain products for environmental reasons
othssame,no saving environment unless others do same,whether there is no point in helping the environment unless others do the same
scigrn,modern science will solve envir probs,whether modern science will solve environmental problems with little change to our way of life
tempgen1,greenhouse effect danger to envir,the degree of danger climate change poses to the environment
toodifme,too diff to do anything about envir,whether it is too difficult to do much about the environment
cappun,favor or oppose death penalty for murder,whether to favor or oppose the death penalty for murder
courts,courts dealing with criminals,whether courts deal too harshly or not harshly enough with criminals
polabuse,citizen said vulgar or obscene things,whether a policeman would be justified in striking a citizen who said vulgar things
polattak,citizen attacking policeman with fists,whether a policeman would be justified in striking a citizen who was attacking with fists
polescap,citizen attempting to escape custody,whether a policeman would be justified in striking a citizen attempting to escape custody
polhitok,ever approve of police striking citizen,whether there are situations in which to approve of police striking a citizen
polmurdr,citizen questioned as murder suspect,whether a policeman would be justified in striking a citizen being questioned as a murder suspect
colath,allow anti-religionist to teach,whether an anti-religious person should be allowed to teach in college
colcom,should communist teacher be fired,whether a communist teacher should be fired
colhomo,allow homosexual to teach,whether a homosexual person should be allowed to teach in college
colmil,allow militarist to teach,whether a person advocating military rule should be allowed to teach in college
colmslm,allow anti-american muslim clergymen teaching in college,whether a Muslim clergyman who preaches hatred of the United States should be allowed to teach in college
colrac,allow racist to teach,whether a person who believes Black people are genetically inferior should be allowed to teach in college
