Variable,Description,SurveyQuestion,NaturalLanguageClause
abany,abortion if woman wants for any reason,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. G. The woman wants it for any reason?",whether a pregnant woman should be able to obtain a legal abortion for any reason
abdefect,strong chance of serious defect,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. A. If there is a strong chance of serious defect in the baby?",whether a pregnant woman should be able to obtain a legal abortion if there is a strong chance of serious defect in the baby
abhlth,woman's health seriously endangered,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. C. If the woman''s own health is seriously endangered by the pregnancy?",whether a pregnant woman should be able to obtain a legal abortion if her health is seriously endangered
abnomore,married--wants no more children,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. B. If she is married and does not want any more children?",whether a married woman should be able to obtain a legal abortion if she does not want more children
abpoor,low income--cant afford more children,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. D. If the family has a very low income and cannot afford any more children?",whether a pregnant woman should be able to obtain a legal abortion if the family cannot afford more children
abrape,pregnant as result of rape,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. E. If she became pregnant as a result of rape?",whether a pregnant woman should be able to obtain a legal abortion if she became pregnant as a result of rape
absingle,not married,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. F. If she is not married and does not want to marry the man?",whether an unmarried woman should be able to obtain a legal abortion
abhelp1,r would help with arrangements for abortion,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help with arrangements, like a ride or childcare?",whether to help a family member or friend with arrangements for an abortion
abhelp2,r would help with paying for abortion,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help paying for the abortion?",whether to help pay for an abortion
abhelp3,r would help with paying for abortion-related other costs,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help paying for costs other than the abortion, like for a ride or hotel if she needs to stay overnight?",whether to help pay for costs related to an abortion other than the procedure itself
abhelp4,r would help with emotional support for abortion,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help by providing emotional support?",whether to provide emotional support to someone having an abortion
advfront,sci rsch is necessary and should be supported by federal govt,"I'm going to read to you some statements like those you might find in a newspaper or magazine article. For each statement, please tell me if you strongly agree, agree, disagree, or strongly disagree. D. Even if it brings no immediate benefits, scientific research that advances the frontiers of knowledge is necessary and should be supported by the federal government.",whether scientific research that advances knowledge should be supported by the federal government
balneg,sci research is strongly in favor of harmful results,"Now for another type of question. People have frequently noted that scientific research has produced benefits and harmful results. Would you say that, on balance, the benefits of scientific research have outweighed the harmful results, or have the harmful results of scientific research been greater than its benefits? B. Would you say that the balance has been strongly in favor of the harmful results, or only slightly?",the degree to which harmful results of scientific research outweigh the benefits
balpos,sci research is strongly in favor of benefits,"Now for another type of question. People have frequently noted that scientific research has produced benefits and harmful results. Would you say that, on balance, the benefits of scientific research have outweighed the harmful results, or have the harmful results of scientific research been greater than its benefits? A. Would you say that the balance has been strongly in favor of the benefits, or only slightly?",the degree to which benefits of scientific research outweigh harmful results
scibnfts,benefits of sci research outweigh harmful results,"Now for another type of question. People have frequently noted that scientific research has produced benefits and harmful results. Would you say that, on balance, the benefits of scientific research have outweighed the harmful results, or have the harmful results of scientific research been greater than its benefits?",whether the benefits of scientific research outweigh the harmful results
scientbe,scientists want to make life better for avg person,"G. Most scientists want to work on things that will make life better for the average person. Do you strongly agree, agree, disagree, or strongly disagree?",whether scientists want to make life better for the average person
scientgo,scientists work for good of humanity,"C. Scientific researchers are dedicated people who work for the good of humanity. Do you strongly agree, agree, disagree, or strongly disagree?",whether scientists work for the good of humanity
scienthe,scientists help solve prob,"E. Scientists are helping to solve challenging problems. Do you strongly agree, agree, disagree, or strongly disagree?",whether scientists help solve challenging problems
scientod,scientists odd and peculiar,"F. Scientists are apt to be odd and peculiar people. Do you strongly agree, agree, disagree, or strongly disagree?",whether scientists tend to be odd and peculiar people
nanowill,benefit of nanotechnology outweigh harmful results,"A. Nanotechnology works at the molecular level atom by atom to build new structures, materials, and machines. People have frequently noted that new technologies have produced both benefits and harmful results. Do you think the benefits of nanotechnology will outweigh the harmful results or the harmful results will outweigh the benefits?",whether the benefits of nanotechnology will outweigh the harmful results
affrmact,Favor preference in hiring Black people,"A. Some people say that because of past discrimination, Black people should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of Black people is wrong because it discriminates against whites. What about your opinion -- are you for or against preferential hiring and promotion of Black people? IF FAVORS: A. Do you favor preference in hiring and promotion strongly or not strongly? IF OPPOSES: B. Do you oppose preference in hiring and promotion strongly or not strongly?",whether Black people should be given preference in hiring and promotion
discaff,whites hurt by aff. action,"What do you think the chances are these days that a white person won''t get a job or promotion while an equally or less qualified black person gets one instead? Is this very likely, somewhat likely, or not very likely to happen these days?",the likelihood that a white person won't get a job or promotion while an equally or less qualified Black person gets one
discaffm,a man won't get a job or promotion,"A. What do you think the chances are these days that a man won't get a job or promotion while an equally or less qualified woman gets one instead? Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days?",the likelihood that a man won't get a job or promotion while an equally or less qualified woman gets one
discaffw,a woman won't get a job or promotion,"B. What do you think the chances are these days that a woman won't get a job or promotion while an equally or less qualified man gets one instead? Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days?",the likelihood that a woman won't get a job or promotion while an equally or less qualified man gets one
fehire,should hire and promote women,"Now I'm going to read several statements. As I read each one, please tell me whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree. For example, here is the statement: Because of past discrimination, employers should make special efforts to hire and promote qualified women.",whether employers should make special efforts to hire and promote women
fejobaff,for or against preferential hiring of women,"Some people say that because of past discrimination, women should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of women is wrong because it discriminates against men. What about your opinion - are you for or against preferential hiring and promotion of women? IF FOR:Do you favor preference in hiring and promotion strongly or not strongly? IF AGAINST:Do you oppose preference in hiring and promotion strongly or not strongly?",whether women should be given preference in hiring and promotion
wrkwayup,Black people overcome prejudice without favors,"B. Do you agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly with the following statement (HAND CARD TO RESPONDENT): Irish, Italians, Jewish and many other minorities overcame prejudice and worked their way up. Black people should do the same without special favors.",whether Black people should work their way up without special favors
carsgen,car pollution danger to envir,"Please check one box for each of the questions below to show what you think. A. In general, do you think that air pollution caused by cars is…",the degree of danger car pollution poses to the environment
chemgen,pesticides danger to envir,"A. In general, do you think that pesticides and chemicals used in farming are...",the degree of danger pesticides and chemicals pose to the environment
genegen,how dangerous modifying genes in crops,Do you think that modifying the genes of certain crops is:,the degree of danger modifying genes in crops poses
grncon,concerned about environment,"C. Generally speaking, how concerned are you about environmental issues? Please tell me what you think, where 1 means you are not at all concerned and 5 means you are very concerned.",how concerned to be about environmental issues
grnecon,"worry too much about envir, too little econ","And please check one box for each of these statements to show how much you agree or disagree with it. A. We worry too much about the future of the environment, and not enough about prices and jobs today.",whether we worry too much about the environment and not enough about prices and jobs
